year,age_group,deaths,population,source_citation,source_type,fetched_from,verified_by,verified_date,corroborated_against,corroborated_date,corroborated_measures
2016,75-84,636916,14233534,"CDC WONDER export allcause_by_age_2010-2017_ucd-bridged.txt (sha256:213e10c77866). Dataset: Underlying Cause of Death, 1999-2020. Years: 2010; 2011; 2012; 2013; 2014; 2015; 2016; 2017. Cause: all causes (no ICD-10 restriction). Group By: Year; Ten-Year Age Groups. Accessed: Aug 29, 2026 9:38:43 PM. Committed in data/raw/wonder_exports/; footer is the artifact.",api,wonder-export:allcause_by_age_2010-2017_ucd-bridged.txt@sha256:213e10c77866,Terry Finberg,2026-08-30,,,
2016,85+,854462,6380331,"CDC WONDER export allcause_by_age_2010-2017_ucd-bridged.txt (sha256:213e10c77866). Dataset: Underlying Cause of Death, 1999-2020. Years: 2010; 2011; 2012; 2013; 2014; 2015; 2016; 2017. Cause: all causes (no ICD-10 restriction). Group By: Year; Ten-Year Age Groups. Accessed: Aug 29, 2026 9:38:43 PM. Committed in data/raw/wonder_exports/; footer is the artifact.",api,wonder-export:allcause_by_age_2010-2017_ucd-bridged.txt@sha256:213e10c77866,Terry Finberg,2026-08-30,,,
2017,0-24,63811,104271847,"CDC WONDER export allcause_by_age_2010-2017_ucd-bridged.txt (sha256:213e10c77866). Dataset: Underlying Cause of Death, 1999-2020. Years: 2010; 2011; 2012; 2013; 2014; 2015; 2016; 2017. Cause: all causes (no ICD-10 restriction). Group By: Year; Ten-Year Age Groups. Accessed: Aug 29, 2026 9:38:43 PM. Committed in data/raw/wonder_exports/; footer is the artifact.",api,wonder-export:allcause_by_age_2010-2017_ucd-bridged.txt@sha256:213e10c77866,Terry Finberg,2026-08-30,,,
2017,25-44,140011,86218042,"CDC WONDER export allcause_by_age_2010-2017_ucd-bridged.txt (sha256:213e10c77866). Dataset: Underlying Cause of Death, 1999-2020. Years: 2010; 2011; 2012; 2013; 2014; 2015; 2016; 2017. Cause: all causes (no ICD-10 restriction). Group By: Year; Ten-Year Age Groups. Accessed: Aug 29, 2026 9:38:43 PM. Committed in data/raw/wonder_exports/; footer is the artifact.",api,wonder-export:allcause_by_age_2010-2017_ucd-bridged.txt@sha256:213e10c77866,Terry Finberg,2026-08-30,,,
2017,45-64,542148,84370610,"CDC WONDER export allcause_by_age_2010-2017_ucd-bridged.txt (sha256:213e10c77866). Dataset: Underlying Cause of Death, 1999-2020. Years: 2010; 2011; 2012; 2013; 2014; 2015; 2016; 2017. Cause: all causes (no ICD-10 restriction). Group By: Year; Ten-Year Age Groups. Accessed: Aug 29, 2026 9:38:43 PM. Committed in data/raw/wonder_exports/; footer is the artifact.",api,wonder-export:allcause_by_age_2010-2017_ucd-bridged.txt@sha256:213e10c77866,Terry Finberg,2026-08-30,,,
2017,65-74,531610,29683446,"CDC WONDER export allcause_by_age_2010-2017_ucd-bridged.txt (sha256:213e10c77866). Dataset: Underlying Cause of Death, 1999-2020. Years: 2010; 2011; 2012; 2013; 2014; 2015; 2016; 2017. Cause: all causes (no ICD-10 restriction). Group By: Year; Ten-Year Age Groups. Accessed: Aug 29, 2026 9:38:43 PM. Committed in data/raw/wonder_exports/; footer is the artifact.",api,wonder-export:allcause_by_age_2010-2017_ucd-bridged.txt@sha256:213e10c77866,Terry Finberg,2026-08-30,,,
2017,75-84,657759,14706551,"CDC WONDER export allcause_by_age_2010-2017_ucd-bridged.txt (sha256:213e10c77866). Dataset: Underlying Cause of Death, 1999-2020. Years: 2010; 2011; 2012; 2013; 2014; 2015; 2016; 2017. Cause: all causes (no ICD-10 restriction). Group By: Year; Ten-Year Age Groups. Accessed: Aug 29, 2026 9:38:43 PM. Committed in data/raw/wonder_exports/; footer is the artifact.",api,wonder-export:allcause_by_age_2010-2017_ucd-bridged.txt@sha256:213e10c77866,Terry Finberg,2026-08-30,,,
2017,85+,878035,6468682,"CDC WONDER export allcause_by_age_2010-2017_ucd-bridged.txt (sha256:213e10c77866). Dataset: Underlying Cause of Death, 1999-2020. Years: 2010; 2011; 2012; 2013; 2014; 2015; 2016; 2017. Cause: all causes (no ICD-10 restriction). Group By: Year; Ten-Year Age Groups. Accessed: Aug 29, 2026 9:38:43 PM. Committed in data/raw/wonder_exports/; footer is the artifact.",api,wonder-export:allcause_by_age_2010-2017_ucd-bridged.txt@sha256:213e10c77866,Terry Finberg,2026-08-30,,,
2018,0-24,60901,103856244,"CDC WONDER export allcause_by_age_2018-2024_ucd-singlerace.txt (sha256:dd6beab886e5). Dataset: Underlying Cause of Death, 2018-2024, Single Race. Years: all years in the database at access (2018-2024 in this file). Cause: all causes (no ICD-10 restriction). Group By: Year; Ten-Year Age Groups. Accessed: Aug 29, 2026 11:25:16 PM. Committed in data/raw/wonder_exports/; footer is the artifact.",api,wonder-export:allcause_by_age_2018-2024_ucd-singlerace.txt@sha256:dd6beab886e5,Terry Finberg,2026-08-30,,,
2018,25-44,139224,86975662,"CDC WONDER export allcause_by_age_2018-2024_ucd-singlerace.txt (sha256:dd6beab886e5). Dataset: Underlying Cause of Death, 2018-2024, Single Race. Years: all years in the database at access (2018-2024 in this file). Cause: all causes (no ICD-10 restriction). Group By: Year; Ten-Year Age Groups. Accessed: Aug 29, 2026 11:25:16 PM. Committed in data/raw/wonder_exports/; footer is the artifact.",api,wonder-export:allcause_by_age_2018-2024_ucd-singlerace.txt@sha256:dd6beab886e5,Terry Finberg,2026-08-30,,,
